CU651604.3	chr1
FR652542.1	whole genome shotgun sequencing
FR652543.1	whole genome shotgun sequencing
FR652544.1	whole genome shotgun sequencing
FR652545.1	whole genome shotgun sequencing
FR652546.1	whole genome shotgun sequencing
FR652547.1	whole genome shotgun sequencing
FR652548.1	whole genome shotgun sequencing
FR652549.1	whole genome shotgun sequencing
FR652550.1	whole genome shotgun sequencing
FR652551.1	whole genome shotgun sequencing
FR652552.1	whole genome shotgun sequencing
FR652553.1	whole genome shotgun sequencing
FR652554.1	whole genome shotgun sequencing
FR652555.1	whole genome shotgun sequencing
FR652556.1	whole genome shotgun sequencing
FR652557.1	whole genome shotgun sequencing
FR652558.1	whole genome shotgun sequencing
FR652559.1	whole genome shotgun sequencing
FR652560.1	whole genome shotgun sequencing
FR652561.1	whole genome shotgun sequencing
FR652562.1	whole genome shotgun sequencing
FR652563.1	whole genome shotgun sequencing
FR652564.1	whole genome shotgun sequencing
FR652565.1	whole genome shotgun sequencing
FR652566.1	whole genome shotgun sequencing
FR652567.1	whole genome shotgun sequencing
FR652568.1	whole genome shotgun sequencing
FR652569.1	whole genome shotgun sequencing
FR652570.1	whole genome shotgun sequencing
FR652571.1	whole genome shotgun sequencing
FR652572.1	whole genome shotgun sequencing
FR652573.1	whole genome shotgun sequencing
FR652574.1	whole genome shotgun sequencing
FR652575.1	whole genome shotgun sequencing
FR652576.1	whole genome shotgun sequencing
FR652577.1	whole genome shotgun sequencing
FR652578.1	whole genome shotgun sequencing
FR652579.1	whole genome shotgun sequencing
FR652580.1	whole genome shotgun sequencing
FR652581.1	whole genome shotgun sequencing
FR652582.1	whole genome shotgun sequencing
FR652583.1	whole genome shotgun sequencing
FR652584.1	whole genome shotgun sequencing
FR652585.1	whole genome shotgun sequencing
FR652586.1	whole genome shotgun sequencing
FR652587.1	whole genome shotgun sequencing
FR652588.1	whole genome shotgun sequencing
FR652589.1	whole genome shotgun sequencing
FR652590.1	whole genome shotgun sequencing
FR652591.1	whole genome shotgun sequencing
FR652592.1	whole genome shotgun sequencing
FR652593.1	whole genome shotgun sequencing
FR652594.1	whole genome shotgun sequencing
FR652595.1	whole genome shotgun sequencing
FR652596.1	whole genome shotgun sequencing
FR652597.1	whole genome shotgun sequencing
FR652598.1	whole genome shotgun sequencing
FR652599.1	whole genome shotgun sequencing
FR652600.1	whole genome shotgun sequencing
FR652601.1	whole genome shotgun sequencing
FR652602.1	whole genome shotgun sequencing
FR652603.1	whole genome shotgun sequencing
FR652604.1	whole genome shotgun sequencing
FR652605.1	whole genome shotgun sequencing
FR652606.1	whole genome shotgun sequencing
FR652607.1	whole genome shotgun sequencing
FR652608.1	whole genome shotgun sequencing
FR652609.1	whole genome shotgun sequencing
FR652610.1	whole genome shotgun sequencing
FR652611.1	whole genome shotgun sequencing
FR652612.1	whole genome shotgun sequencing
FR652613.1	whole genome shotgun sequencing
FR652614.1	whole genome shotgun sequencing
FR652615.1	whole genome shotgun sequencing
FR652616.1	whole genome shotgun sequencing
FR652617.1	whole genome shotgun sequencing
FR652618.1	whole genome shotgun sequencing
FR652619.1	whole genome shotgun sequencing
FR652620.1	whole genome shotgun sequencing
FR652621.1	whole genome shotgun sequencing
FR652622.1	whole genome shotgun sequencing
FR652623.1	whole genome shotgun sequencing
FR652624.1	whole genome shotgun sequencing
FR652625.1	whole genome shotgun sequencing
FR652626.1	whole genome shotgun sequencing
FR652627.1	whole genome shotgun sequencing
FR652628.1	whole genome shotgun sequencing
FR652629.1	whole genome shotgun sequencing
FR652630.1	whole genome shotgun sequencing
FR652631.1	whole genome shotgun sequencing
FR652632.1	whole genome shotgun sequencing
FR652633.1	whole genome shotgun sequencing
FR652634.1	whole genome shotgun sequencing
FR652635.1	whole genome shotgun sequencing
FR652636.1	whole genome shotgun sequencing
FR652637.1	whole genome shotgun sequencing
FR652638.1	whole genome shotgun sequencing
FR652639.1	whole genome shotgun sequencing
FR652640.1	whole genome shotgun sequencing
FR652641.1	whole genome shotgun sequencing
FR652642.1	whole genome shotgun sequencing
FR652643.1	whole genome shotgun sequencing
FR652644.1	whole genome shotgun sequencing
FR652645.1	whole genome shotgun sequencing
FR652646.1	whole genome shotgun sequencing
FR652647.1	whole genome shotgun sequencing
FR652648.1	whole genome shotgun sequencing
FR652649.1	whole genome shotgun sequencing
FR652650.1	whole genome shotgun sequencing
FR652651.1	whole genome shotgun sequencing
FR652652.1	whole genome shotgun sequencing
FR652653.1	whole genome shotgun sequencing
FR652654.1	whole genome shotgun sequencing
FR652655.1	whole genome shotgun sequencing
FR652656.1	whole genome shotgun sequencing
FR652657.1	whole genome shotgun sequencing
FR652658.1	whole genome shotgun sequencing
FR652659.1	whole genome shotgun sequencing
FR652660.1	whole genome shotgun sequencing
FR652661.1	whole genome shotgun sequencing
FR652662.1	whole genome shotgun sequencing
FR652663.1	whole genome shotgun sequencing
FR652664.1	whole genome shotgun sequencing
FR652665.1	whole genome shotgun sequencing
FR652666.1	whole genome shotgun sequencing
FR652667.1	whole genome shotgun sequencing
FR652668.1	whole genome shotgun sequencing
FR652669.1	whole genome shotgun sequencing
FR652670.1	whole genome shotgun sequencing
FR652671.1	whole genome shotgun sequencing
FR652672.1	whole genome shotgun sequencing
FR652673.1	whole genome shotgun sequencing
FR652674.1	whole genome shotgun sequencing
FR652675.1	whole genome shotgun sequencing
FR652676.1	whole genome shotgun sequencing
FR652677.1	whole genome shotgun sequencing
FR652678.1	whole genome shotgun sequencing
FR652679.1	whole genome shotgun sequencing
FR652680.1	whole genome shotgun sequencing
FR652681.1	whole genome shotgun sequencing
FR652682.1	whole genome shotgun sequencing
FR652683.1	whole genome shotgun sequencing
FR652684.1	whole genome shotgun sequencing
FR652685.1	whole genome shotgun sequencing
FR652686.1	whole genome shotgun sequencing
FR652687.1	whole genome shotgun sequencing
FR652688.1	whole genome shotgun sequencing
FR652689.1	whole genome shotgun sequencing
FR652690.1	whole genome shotgun sequencing
FR652691.1	whole genome shotgun sequencing
FR652692.1	whole genome shotgun sequencing
FR652693.1	whole genome shotgun sequencing
FR652694.1	whole genome shotgun sequencing
FR652695.1	whole genome shotgun sequencing
FR652696.1	whole genome shotgun sequencing
FR652697.1	whole genome shotgun sequencing
FR652698.1	whole genome shotgun sequencing
FR652699.1	whole genome shotgun sequencing
FR652700.1	whole genome shotgun sequencing
FR652701.1	whole genome shotgun sequencing
FR652702.1	whole genome shotgun sequencing
FR652703.1	whole genome shotgun sequencing
FR652704.1	whole genome shotgun sequencing
FR652705.1	whole genome shotgun sequencing
FR652706.1	whole genome shotgun sequencing
FR652707.1	whole genome shotgun sequencing
FR652708.1	whole genome shotgun sequencing
FR652709.1	whole genome shotgun sequencing
FR652710.1	whole genome shotgun sequencing
FR652711.1	whole genome shotgun sequencing
FR652712.1	whole genome shotgun sequencing
FR652713.1	whole genome shotgun sequencing
FR652714.1	whole genome shotgun sequencing
FR652715.1	whole genome shotgun sequencing
FR652716.1	whole genome shotgun sequencing
FR652717.1	whole genome shotgun sequencing
FR652718.1	whole genome shotgun sequencing
FR652719.1	whole genome shotgun sequencing
FR652720.1	whole genome shotgun sequencing
FR652721.1	whole genome shotgun sequencing
FR652722.1	whole genome shotgun sequencing
FR652723.1	whole genome shotgun sequencing
FR652724.1	whole genome shotgun sequencing
FR652725.1	whole genome shotgun sequencing
FR652726.1	whole genome shotgun sequencing
FR652727.1	whole genome shotgun sequencing
FR652728.1	whole genome shotgun sequencing
FR652729.1	whole genome shotgun sequencing
FR652730.1	whole genome shotgun sequencing
FR652731.1	whole genome shotgun sequencing
FR652732.1	whole genome shotgun sequencing
FR652733.1	whole genome shotgun sequencing
FR652734.1	whole genome shotgun sequencing
FR652735.1	whole genome shotgun sequencing
FR652736.1	whole genome shotgun sequencing
FR652737.1	whole genome shotgun sequencing
FR652738.1	whole genome shotgun sequencing
FR652739.1	whole genome shotgun sequencing
FR652740.1	whole genome shotgun sequencing
FR652741.1	whole genome shotgun sequencing
FR652742.1	whole genome shotgun sequencing
FR652743.1	whole genome shotgun sequencing
FR652744.1	whole genome shotgun sequencing
FR652745.1	whole genome shotgun sequencing
FR652746.1	whole genome shotgun sequencing
FR652747.1	whole genome shotgun sequencing
FR652748.1	whole genome shotgun sequencing
FR652749.1	whole genome shotgun sequencing
FR652750.1	whole genome shotgun sequencing
FR652751.1	whole genome shotgun sequencing
FR652752.1	whole genome shotgun sequencing
FR652753.1	whole genome shotgun sequencing
FR652754.1	whole genome shotgun sequencing
FR652755.1	whole genome shotgun sequencing
FR652756.1	whole genome shotgun sequencing
FR652757.1	whole genome shotgun sequencing
FR652758.1	whole genome shotgun sequencing
FR652759.1	whole genome shotgun sequencing
FR652760.1	whole genome shotgun sequencing
FR652761.1	whole genome shotgun sequencing
FR652762.1	whole genome shotgun sequencing
FR652763.1	whole genome shotgun sequencing
FR652764.1	whole genome shotgun sequencing
FR652765.1	whole genome shotgun sequencing
FR652766.1	whole genome shotgun sequencing
FR652767.1	whole genome shotgun sequencing
FR652768.1	whole genome shotgun sequencing
FR652769.1	whole genome shotgun sequencing
FR652770.1	whole genome shotgun sequencing
FR652771.1	whole genome shotgun sequencing
FR652772.1	whole genome shotgun sequencing
FR652773.1	whole genome shotgun sequencing
FR652774.1	whole genome shotgun sequencing
FR652775.1	whole genome shotgun sequencing
FR652776.1	whole genome shotgun sequencing
FR652777.1	whole genome shotgun sequencing
FR652778.1	whole genome shotgun sequencing
FR652779.1	whole genome shotgun sequencing
FR652780.1	whole genome shotgun sequencing
FR652781.1	whole genome shotgun sequencing
FR652782.1	whole genome shotgun sequencing
FR652783.1	whole genome shotgun sequencing
FR652784.1	whole genome shotgun sequencing
FR652785.1	whole genome shotgun sequencing
FR652786.1	whole genome shotgun sequencing
FR652787.1	whole genome shotgun sequencing
FR652788.1	whole genome shotgun sequencing
FR652789.1	whole genome shotgun sequencing
FR652790.1	whole genome shotgun sequencing
FR652791.1	whole genome shotgun sequencing
FR652792.1	whole genome shotgun sequencing
FR652793.1	whole genome shotgun sequencing
FR652794.1	whole genome shotgun sequencing
FR652795.1	whole genome shotgun sequencing
FR652796.1	whole genome shotgun sequencing
FR652797.1	whole genome shotgun sequencing
FR652798.1	whole genome shotgun sequencing
FR652799.1	whole genome shotgun sequencing
FR652800.1	whole genome shotgun sequencing
FR652801.1	whole genome shotgun sequencing
FR652802.1	whole genome shotgun sequencing
FR652803.1	whole genome shotgun sequencing
FR652804.1	whole genome shotgun sequencing
FR652805.1	whole genome shotgun sequencing
FR652806.1	whole genome shotgun sequencing
FR652807.1	whole genome shotgun sequencing
FR652808.1	whole genome shotgun sequencing
FR652809.1	whole genome shotgun sequencing
FR652810.1	whole genome shotgun sequencing
FR652811.1	whole genome shotgun sequencing
FR652812.1	whole genome shotgun sequencing
FR652813.1	whole genome shotgun sequencing
FR652814.1	whole genome shotgun sequencing
FR652815.1	whole genome shotgun sequencing
FR652816.1	whole genome shotgun sequencing
FR652817.1	whole genome shotgun sequencing
FR652818.1	whole genome shotgun sequencing
FR652819.1	whole genome shotgun sequencing
FR652820.1	whole genome shotgun sequencing
FR652821.1	whole genome shotgun sequencing
FR652822.1	whole genome shotgun sequencing
FR652823.1	whole genome shotgun sequencing
FR652824.1	whole genome shotgun sequencing
FR652825.1	whole genome shotgun sequencing
FR652826.1	whole genome shotgun sequencing
FR652827.1	whole genome shotgun sequencing
FR652828.1	whole genome shotgun sequencing
FR652829.1	whole genome shotgun sequencing
FR652830.1	whole genome shotgun sequencing
FR652831.1	whole genome shotgun sequencing
FR652832.1	whole genome shotgun sequencing
FR652833.1	whole genome shotgun sequencing
FR652834.1	whole genome shotgun sequencing
FR652835.1	whole genome shotgun sequencing
FR652836.1	whole genome shotgun sequencing
FR652837.1	whole genome shotgun sequencing
FR652838.1	whole genome shotgun sequencing
FR652839.1	whole genome shotgun sequencing
FR652840.1	whole genome shotgun sequencing
FR652841.1	whole genome shotgun sequencing
FR652842.1	whole genome shotgun sequencing
FR652843.1	whole genome shotgun sequencing
FR652844.1	whole genome shotgun sequencing
FR652845.1	whole genome shotgun sequencing
FR652846.1	whole genome shotgun sequencing
FR652847.1	whole genome shotgun sequencing
FR652848.1	whole genome shotgun sequencing
FR652849.1	whole genome shotgun sequencing
FR652850.1	whole genome shotgun sequencing
FR652851.1	whole genome shotgun sequencing
FR652852.1	whole genome shotgun sequencing
FR652853.1	whole genome shotgun sequencing
FR652854.1	whole genome shotgun sequencing
FR652855.1	whole genome shotgun sequencing
FR652856.1	whole genome shotgun sequencing
FR652857.1	whole genome shotgun sequencing
FR652858.1	whole genome shotgun sequencing
FR652859.1	whole genome shotgun sequencing
FR652860.1	whole genome shotgun sequencing
FR652861.1	whole genome shotgun sequencing
FR652862.1	whole genome shotgun sequencing
FR652863.1	whole genome shotgun sequencing
FR652864.1	whole genome shotgun sequencing
FR652865.1	whole genome shotgun sequencing
FR652866.1	whole genome shotgun sequencing
FR652867.1	whole genome shotgun sequencing
FR652868.1	whole genome shotgun sequencing
FR652869.1	whole genome shotgun sequencing
FR652870.1	whole genome shotgun sequencing
FR652871.1	whole genome shotgun sequencing
FR652872.1	whole genome shotgun sequencing
FR652873.1	whole genome shotgun sequencing
FR652874.1	whole genome shotgun sequencing
FR652875.1	whole genome shotgun sequencing
FR652876.1	whole genome shotgun sequencing
FR652877.1	whole genome shotgun sequencing
FR652878.1	whole genome shotgun sequencing
FR652879.1	whole genome shotgun sequencing
FR652880.1	whole genome shotgun sequencing
FR652881.1	whole genome shotgun sequencing
FR652882.1	whole genome shotgun sequencing
FR652883.1	whole genome shotgun sequencing
FR652884.1	whole genome shotgun sequencing
FR652885.1	whole genome shotgun sequencing
FR652886.1	whole genome shotgun sequencing
FR652887.1	whole genome shotgun sequencing
FR652888.1	whole genome shotgun sequencing
FR652889.1	whole genome shotgun sequencing
FR652890.1	whole genome shotgun sequencing
FR652891.1	whole genome shotgun sequencing
FR652892.1	whole genome shotgun sequencing
FR652893.1	whole genome shotgun sequencing
FR652894.1	whole genome shotgun sequencing
FR652895.1	whole genome shotgun sequencing
FR652896.1	whole genome shotgun sequencing
FR652897.1	whole genome shotgun sequencing
FR652898.1	whole genome shotgun sequencing
FR652899.1	whole genome shotgun sequencing
FR652900.1	whole genome shotgun sequencing
FR652901.1	whole genome shotgun sequencing
FR652902.1	whole genome shotgun sequencing
FR652903.1	whole genome shotgun sequencing
FR652904.1	whole genome shotgun sequencing
FR652905.1	whole genome shotgun sequencing
FR652906.1	whole genome shotgun sequencing
FR652907.1	whole genome shotgun sequencing
FR652908.1	whole genome shotgun sequencing
FR652909.1	whole genome shotgun sequencing
FR652910.1	whole genome shotgun sequencing
FR652911.1	whole genome shotgun sequencing
FR652912.1	whole genome shotgun sequencing
FR652913.1	whole genome shotgun sequencing
FR652914.1	whole genome shotgun sequencing
FR652915.1	whole genome shotgun sequencing
FR652916.1	whole genome shotgun sequencing
FR652917.1	whole genome shotgun sequencing
FR652918.1	whole genome shotgun sequencing
FR652919.1	whole genome shotgun sequencing
FR652920.1	whole genome shotgun sequencing
FR652921.1	whole genome shotgun sequencing
FR652922.1	whole genome shotgun sequencing
FR652923.1	whole genome shotgun sequencing
FR652924.1	whole genome shotgun sequencing
FR652925.1	whole genome shotgun sequencing
FR652926.1	whole genome shotgun sequencing
FR652927.1	whole genome shotgun sequencing
FR652928.1	whole genome shotgun sequencing
FR652929.1	whole genome shotgun sequencing
FR652930.1	whole genome shotgun sequencing
FR652931.1	whole genome shotgun sequencing
FR652932.1	whole genome shotgun sequencing
FR652933.1	whole genome shotgun sequencing
FR652934.1	whole genome shotgun sequencing
FR652935.1	whole genome shotgun sequencing
FR652936.1	whole genome shotgun sequencing
FR652937.1	whole genome shotgun sequencing
FR652938.1	whole genome shotgun sequencing
FR652939.1	whole genome shotgun sequencing
FR652940.1	whole genome shotgun sequencing
FR652941.1	whole genome shotgun sequencing
FR652942.1	whole genome shotgun sequencing
FR652943.1	whole genome shotgun sequencing
FR652944.1	whole genome shotgun sequencing
FR652945.1	whole genome shotgun sequencing
FR652946.1	whole genome shotgun sequencing
FR652947.1	whole genome shotgun sequencing
FR652948.1	whole genome shotgun sequencing
FR652949.1	whole genome shotgun sequencing
FR652950.1	whole genome shotgun sequencing
FR652951.1	whole genome shotgun sequencing
FR652952.1	whole genome shotgun sequencing
FR652953.1	whole genome shotgun sequencing
FR652954.1	whole genome shotgun sequencing
FR652955.1	whole genome shotgun sequencing
FR652956.1	whole genome shotgun sequencing
FR652957.1	whole genome shotgun sequencing
